OBJECTID,VALUE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,new_value
-1,1268194,347,347,7.514457226,11.79246521,4.278007984,10.61392754,0.766469407,3683.032855,1
-1,1268223,63084,63084,3.723710299,17.58287811,13.85916781,5.49533136,1.334002974,346667.4835,1
-1,2048931,1788538,1788538,0.000176589,18.77964783,18.77947124,7.81413632,2.562193041,13975879.74,1
-1,1268226,252180,252180,0.000100295,47.3774147,47.37731441,11.12479962,9.99541674,2805451.968,1
-1,1268091,576364,576364,1.976283193,19.57226563,17.59598243,7.696217102,2.387534516,4435822.474,1
-1,1267394,1784702,1784702,1.20799E-05,16.76048279,16.76047071,8.131446272,2.554712425,14512208.42,1
-1,1268095,2453622,2453622,0.501902282,10.4866333,9.984731019,10.04719588,0.763105945,24652020.84,1
-1,1268096,132142,132142,0.615231216,14.12042522,13.50519401,5.854161255,0.96268974,773580.5766,1
-1,1268097,984511,984511,2.449117899,12.84373856,10.39462066,10.32762023,0.576271658,10167655.72,1
-1,1268060,255295,255295,0.270912319,19.70798874,19.43707642,9.466004399,4.671343074,2416623.593,1
-1,1268062,43847,43847,3.549503565,16.95183945,13.40233588,7.050209807,2.874236418,309130.5494,1
-1,1268088,1778075,1778075,1.306222081,19.11253548,17.8063134,11.12365034,2.438658869,19778684.58,1
-1,1268087,29855,29855,0.128668949,11.693923,11.56525405,6.234665351,2.88581447,186135.934,1
-1,1268086,27352,27352,4.515721321,16.97595596,12.46023464,6.425080074,2.205444659,175738.7902,1
-1,1268085,94253,94253,0.550760448,10.51254082,9.961780369,5.628988113,0.818210671,530549.0166,1
-1,1268084,206608,206608,0.307044178,11.61139679,11.30435261,5.778984591,0.73484541,1193984.448,1
-1,1268077,1691040,1691040,1.027025342,10.09772778,9.070702434,8.760712049,0.169783888,14814714.5,1
-1,1268075,327134,327134,0.000321547,14.71180439,14.71148284,6.781226786,2.668187549,2218369.843,1
-1,1267393,3002787,3002787,9.21885E-06,18.36099434,18.36098512,10.60210857,3.526124139,31835873.77,1
-1,1268197,20672,20672,2.633223295,11.71068954,9.077466249,7.072555334,2.193432029,146203.8639,1
-1,1268094,175582,175582,0.044727486,15.53832436,15.49359687,7.932823612,2.656067613,1392861.035,1
-1,1268103,1073803,1073803,0.043683689,13.29433346,13.25064977,9.676227736,0.959014521,10390362.37,1
-1,1268102,25006,25006,0.661571681,10.61365032,9.95207864,6.054195502,1.991240229,151391.2127,1
-1,1268066,131664,131664,1.396530271,17.12230873,15.72577846,7.188999492,2.333107642,946532.4292,1
-1,1268076,25678,25678,0.004447142,14.38796711,14.38351997,5.55969029,3.432911942,142761.7273,1
-1,1268067,492732,492732,6.926438332,10.21913815,3.292699814,10.17733486,0.089855509,5014698.56,1
-1,1268089,12249,12249,2.291889429,11.75521755,9.463328123,6.337178827,2.343461879,77624.10345,1
-1,1268079,265130,265130,0.00049607,14.64254189,14.64204582,6.427938914,2.530765914,1704239.444,1
-1,1268332,46695,46695,5.88099E-06,8.271208763,8.271202882,3.163686898,2.555939688,147728.3597,1
-1,1268198,27244,27244,4.989003181,12.23267269,7.24366951,7.97708221,2.051315799,217327.6277,1
-1,1268090,15192,15192,0.52333945,10.22476101,9.701421559,5.715201837,0.782710633,86825.34631,1
-1,2048898,15135,15135,3.008416414,7.987815857,4.979399443,5.657882044,0.721852962,85632.04474,1
-1,1270019,21124,21124,3.01997E-06,4.059371948,4.059368928,1.227518179,0.851260356,25930.09402,1
-1,1268340,3673,3673,0.000136534,9.788207054,9.78807052,1.596766951,2.092772926,5864.925011,1
-1,1264170,1,1,0.016785303,0.016785303,0,0.016785303,0,0.016785303,1
-1,1268078,755825,755825,0.003785292,14.41417789,14.4103926,8.643730366,1.165942351,6533147.504,1
-1,1268224,1391,1391,0.024196783,4.186177254,4.161980471,2.633180234,0.918243488,3662.753706,1
-1,1268318,54001,54001,0.012447516,10.67016125,10.65771373,5.913284424,2.053755111,319323.2722,1
-1,1268320,2925,2925,0.006663481,14.00603199,13.99936851,7.422446489,4.446045065,21710.65598,1
-1,1268330,336,336,0.070504345,11.25899887,11.18849453,4.957179905,2.507890556,1665.612448,1
-1,1270020,31382,31382,4.30743E-05,5.071756363,5.071713289,1.368009548,0.827662004,42930.87565,1
-1,1264169,36,36,0.335688263,2.2707479,1.935059637,1.356112311,0.503410554,48.82004321,1
-1,1264168,49,49,0.052634876,4.444057941,4.391423065,1.331858905,0.77555795,65.26108635,1
-1,1264167,99,99,0.128067657,4.128765583,4.000697926,1.839526765,1.043679253,182.1131498,1
-1,1264166,53,53,0.103822388,2.366812468,2.26299008,1.194590932,0.669756352,63.31331939,1
-1,1264165,114,114,0.089771904,2.976310492,2.886538588,1.949736065,0.612781218,222.2699115,1
-1,1264164,87,87,0.089169182,3.233521223,3.144352041,2.259187799,0.711223866,196.5493385,1
-1,1264198,63,63,0.023174921,3.306757689,3.283582767,2.064779992,0.762184545,130.0811395,1
-1,1268082,1214288,1214288,0.052388351,13.44843388,13.39604552,11.07734619,1.374743624,13451088.55,1
-1,1268065,105375,105375,0.259565502,17.83891106,17.57934555,8.683807468,4.717420584,915056.2119,1
-1,1268068,27358,27358,0.458414227,12.47137165,12.01295742,6.565594215,2.285914082,179621.5265,1
-1,1269626,169092,169092,0.000322501,14.05901146,14.05868896,5.399363918,3.238563543,912989.2437,1
-1,1268321,994,994,0.006418387,5.898980141,5.892561754,2.695616142,1.375710122,2679.442445,1
-1,1268322,1429,1429,0.005752722,4.48950386,4.483751138,2.805907727,1.105986611,4009.642142,1
-1,1269621,120,120,2.22074151,13.11194801,10.8912065,11.6831101,1.743226271,1401.973212,1
-1,1270001,1498,1498,0.013508956,13.44797993,13.43447097,8.971303079,3.33127027,13439.01201,1
-1,1270002,603,603,0.011860053,11.8798275,11.86796745,4.698477939,2.417601987,2833.182197,1
-1,1270011,32794,32794,9.0758E-05,12.42643833,12.42634757,5.102547889,2.956100727,167332.9555,1
-1,1270004,4955,4955,0.009800117,12.81386757,12.80406745,6.382449292,2.857150001,31625.03624,1
-1,1270009,40931,40931,0.000907103,7.012794971,7.011887868,3.280927302,1.342941785,134291.6354,1
-1,2052459,1219,1219,0.000878493,1.719955564,1.719077071,0.527370216,0.408430972,642.8642932,1
-1,1270520,69,69,0.021764914,0.963545978,0.941781064,0.335836061,0.225586371,23.17268821,1
-1,1264163,4,4,0.424519211,3.013490438,2.588971227,1.59261819,1.045582519,6.370472759,1
-1,1264162,31,31,0.016363779,3.627718687,3.611354908,1.913465977,1.214221762,59.3174453,1
-1,1264161,13,13,0.093748726,2.610878706,2.51712998,1.484273389,0.839791018,19.29555406,1
-1,1264160,218,218,0.00882117,4.327536106,4.318714936,2.850254885,0.894945487,621.3555648,1
-1,1264159,112,112,0.136635467,4.799866199,4.663230732,3.100352797,1.006331011,347.2395133,1
-1,1264211,10,10,0.518034637,3.913223982,3.395189345,2.142480379,1.168356311,21.42480379,1
-1,1264207,85,85,0.05353133,6.552936554,6.499405224,3.500577799,1.973632746,297.5491129,1
-1,1264208,59,59,0.020774523,5.94141531,5.920640787,2.776240745,1.815440573,163.798204,1
-1,1264209,65,65,0.268557221,5.618507862,5.349950641,2.973359513,1.803231476,193.2683683,1
-1,1264210,90,90,0.052858036,6.065255642,6.012397606,4.193216301,1.595483156,377.3894671,1
-1,1264206,56,56,0.105394043,5.611357212,5.505963169,2.250962032,1.571137397,126.0538738,1
-1,1264205,80,80,0.05822913,7.00680542,6.94857629,3.298719817,2.059182039,263.8975854,1
-1,1264204,154,154,0.351188332,7.785743713,7.434555382,5.102118588,2.201570659,785.7262625,1
-1,1264203,153,153,0.107811607,7.202921391,7.095109783,3.882656488,1.966093318,594.0464427,1
-1,1264361,88,88,0.063215889,7.858874321,7.795658432,3.861871087,2.362835134,339.8446556,1
-1,1264360,51,51,0.019071737,7.375197887,7.35612615,2.812541008,1.914825726,143.4395914,1
-1,1264359,57,57,0.025377432,7.938854218,7.913476786,4.532642162,2.427529973,258.3606032,1
-1,1267383,4698,4698,3.456118345,8.882558823,5.426440477,6.431628179,0.822580593,30215.78919,1
-1,1268069,323503,323503,1.426254392,12.29433823,10.86808383,9.709228912,1.675755391,3140964.681,1
-1,1268041,78932,78932,4.02133E-05,12.52090168,12.52086147,2.937103235,3.041388225,231831.4325,1
-1,1268319,538,538,7.937507153,9.169035912,1.231528759,8.543751468,0.372203044,4596.53829,1
-1,1270003,3289,3289,0.005849043,10.47430229,10.46845325,5.529840672,2.348553643,18187.64597,1
-1,1270521,74,74,0.022473494,0.620473087,0.597999593,0.210551035,0.124774727,15.58077659,1
-1,1270519,81,81,0.081125416,1.219682813,1.138557397,0.515210117,0.272378786,41.73201946,1
-1,1270529,40,40,0.002903144,1.100370526,1.097467383,0.496766302,0.304862539,19.87065208,1
-1,1270523,58,58,0.017251173,0.665284336,0.648033163,0.330261391,0.179202226,19.15516067,1
-1,1270524,35,35,0.005942503,0.36155811,0.355615606,0.126356637,0.090757307,4.422482301,1
-1,1270528,40,40,0.00652043,0.876265705,0.869745275,0.35365743,0.226850284,14.14629722,1
