,parcel_id,slr77,slr66,slr52,slr48,slr36,slr24,slr12,slr
0,670493,77,66.0,52.0,48.0,36.0,24.0,12.0,12
1,670412,77,66.0,52.0,48.0,36.0,24.0,12.0,12
2,670441,77,66.0,52.0,48.0,36.0,24.0,12.0,12
3,670442,77,66.0,52.0,48.0,36.0,24.0,12.0,12
4,670440,77,66.0,52.0,48.0,36.0,24.0,12.0,12
5,670439,77,66.0,52.0,48.0,36.0,24.0,12.0,12
6,670437,77,66.0,52.0,48.0,36.0,24.0,12.0,12
7,670438,77,66.0,52.0,48.0,36.0,24.0,12.0,12
8,670428,77,66.0,52.0,48.0,36.0,24.0,12.0,12
9,670421,77,66.0,52.0,48.0,36.0,24.0,12.0,12
10,670426,77,66.0,52.0,48.0,36.0,24.0,12.0,12
11,670435,77,66.0,52.0,48.0,36.0,24.0,12.0,12
12,670423,77,66.0,52.0,48.0,36.0,24.0,12.0,12
13,670420,77,66.0,52.0,48.0,36.0,24.0,12.0,12
14,669940,77,66.0,52.0,48.0,36.0,24.0,12.0,12
15,669942,77,66.0,52.0,48.0,36.0,24.0,12.0,12
16,669941,77,66.0,52.0,48.0,36.0,24.0,12.0,12
17,669856,77,66.0,52.0,48.0,36.0,24.0,12.0,12
18,669784,77,66.0,52.0,48.0,36.0,24.0,12.0,12
19,670429,77,66.0,52.0,48.0,36.0,24.0,12.0,12
20,670419,77,66.0,52.0,48.0,36.0,24.0,12.0,12
21,670418,77,66.0,52.0,48.0,36.0,24.0,12.0,12
22,670413,77,66.0,52.0,48.0,36.0,24.0,12.0,12
23,670409,77,66.0,52.0,48.0,36.0,24.0,12.0,12
24,670402,77,66.0,52.0,48.0,36.0,24.0,12.0,12
25,669830,77,66.0,52.0,48.0,36.0,24.0,12.0,12
26,669623,77,66.0,52.0,48.0,36.0,24.0,12.0,12
27,669406,77,66.0,52.0,48.0,36.0,24.0,12.0,12
28,670308,77,66.0,52.0,48.0,36.0,24.0,12.0,12
29,670263,77,66.0,52.0,48.0,36.0,24.0,12.0,12
30,669428,77,66.0,52.0,48.0,36.0,24.0,12.0,12
31,669188,77,66.0,52.0,48.0,36.0,24.0,12.0,12
32,669981,77,66.0,52.0,48.0,36.0,24.0,12.0,12
33,669274,77,66.0,52.0,48.0,36.0,24.0,12.0,12
34,669275,77,66.0,52.0,48.0,36.0,24.0,12.0,12
35,669570,77,66.0,52.0,48.0,36.0,24.0,12.0,12
36,669564,77,66.0,52.0,48.0,36.0,24.0,12.0,12
37,669550,77,66.0,52.0,48.0,36.0,24.0,12.0,12
38,668900,77,66.0,52.0,48.0,36.0,24.0,12.0,12
39,668899,77,66.0,52.0,48.0,36.0,24.0,12.0,12
40,669012,77,66.0,52.0,48.0,36.0,24.0,12.0,12
41,668875,77,66.0,52.0,48.0,36.0,24.0,12.0,12
42,668787,77,66.0,52.0,48.0,36.0,24.0,12.0,12
43,668731,77,66.0,52.0,48.0,36.0,24.0,12.0,12
44,668732,77,66.0,52.0,48.0,36.0,24.0,12.0,12
45,668690,77,66.0,52.0,48.0,36.0,24.0,12.0,12
46,669557,77,66.0,52.0,48.0,36.0,24.0,12.0,12
47,669407,77,66.0,52.0,48.0,36.0,24.0,12.0,12
48,668753,77,66.0,52.0,0.0,0.0,0.0,0.0,52
49,668718,77,66.0,52.0,48.0,36.0,24.0,12.0,12
50,668682,77,66.0,52.0,48.0,36.0,24.0,12.0,12
51,668807,77,66.0,52.0,48.0,36.0,24.0,12.0,12
52,668680,77,66.0,52.0,48.0,36.0,24.0,12.0,12
53,668650,77,66.0,52.0,48.0,36.0,24.0,12.0,12
54,668639,77,0.0,0.0,0.0,0.0,0.0,0.0,77
55,668624,77,0.0,0.0,0.0,0.0,0.0,0.0,77
56,668662,77,0.0,0.0,0.0,0.0,0.0,0.0,77
57,668657,77,0.0,0.0,0.0,0.0,0.0,0.0,77
58,668594,77,66.0,52.0,48.0,36.0,24.0,12.0,12
59,668642,77,66.0,52.0,48.0,36.0,0.0,0.0,36
60,668567,77,66.0,52.0,48.0,36.0,0.0,0.0,36
61,668568,77,66.0,52.0,48.0,36.0,0.0,0.0,36
62,668647,77,66.0,52.0,48.0,36.0,24.0,12.0,12
63,668648,77,66.0,52.0,48.0,36.0,24.0,12.0,12
64,668629,77,66.0,52.0,48.0,36.0,24.0,12.0,12
65,668591,77,66.0,52.0,48.0,36.0,24.0,12.0,12
66,668602,77,66.0,52.0,48.0,36.0,24.0,12.0,12
67,668596,77,66.0,52.0,48.0,36.0,24.0,12.0,12
68,669128,77,66.0,52.0,0.0,0.0,0.0,0.0,52
69,668951,77,66.0,52.0,48.0,36.0,24.0,12.0,12
70,668559,77,0.0,0.0,0.0,0.0,0.0,0.0,77
71,668553,77,0.0,0.0,0.0,0.0,0.0,0.0,77
72,668551,77,0.0,0.0,0.0,0.0,0.0,0.0,77
73,668560,77,66.0,52.0,48.0,36.0,24.0,12.0,12
74,668556,77,66.0,52.0,48.0,36.0,24.0,12.0,12
