,parcel_id,slr77,slr66,slr52,slr48,slr36,slr24,slr12,slr
0,2004134,77,66.0,0.0,0.0,0.0,0.0,0.0,66
1,2038124,77,0.0,0.0,0.0,0.0,0.0,0.0,77
2,1992520,77,66.0,52.0,48.0,36.0,24.0,12.0,12
3,1992510,77,0.0,0.0,0.0,0.0,0.0,0.0,77
4,1989624,77,0.0,0.0,0.0,0.0,0.0,0.0,77
5,2004849,77,66.0,0.0,0.0,0.0,0.0,0.0,66
6,1992513,77,66.0,52.0,48.0,36.0,24.0,12.0,12
7,1998154,77,66.0,0.0,0.0,0.0,0.0,0.0,66
8,1998155,77,66.0,52.0,0.0,0.0,0.0,0.0,52
9,1992517,77,66.0,0.0,0.0,0.0,0.0,0.0,66
10,1992518,77,66.0,52.0,48.0,36.0,24.0,12.0,12
11,1992519,77,66.0,52.0,48.0,36.0,24.0,12.0,12
12,1992649,77,66.0,52.0,48.0,36.0,24.0,12.0,12
13,1992540,77,66.0,52.0,48.0,36.0,24.0,0.0,24
14,1992635,77,66.0,52.0,48.0,36.0,24.0,12.0,12
15,1992636,77,66.0,52.0,48.0,36.0,24.0,12.0,12
16,1998160,77,66.0,52.0,48.0,36.0,0.0,0.0,36
17,1998162,77,66.0,52.0,48.0,36.0,24.0,0.0,24
18,1998159,77,66.0,52.0,48.0,36.0,0.0,0.0,36
19,1998158,77,66.0,52.0,48.0,0.0,0.0,0.0,48
20,1998157,77,66.0,52.0,48.0,0.0,0.0,0.0,48
21,1992523,77,66.0,0.0,0.0,0.0,0.0,0.0,66
22,1992539,77,66.0,52.0,48.0,36.0,0.0,0.0,36
23,1992541,77,66.0,0.0,0.0,0.0,0.0,0.0,66
24,1998161,77,66.0,52.0,48.0,36.0,24.0,12.0,12
25,1878102,77,0.0,0.0,0.0,0.0,0.0,0.0,77
26,1992637,77,66.0,52.0,48.0,36.0,24.0,12.0,12
27,1878103,77,0.0,0.0,0.0,0.0,0.0,0.0,77
28,1992638,77,66.0,52.0,48.0,36.0,24.0,12.0,12
29,1992641,77,66.0,52.0,48.0,36.0,24.0,0.0,24
30,1998219,77,0.0,0.0,0.0,0.0,0.0,0.0,77
31,1898156,77,66.0,52.0,48.0,0.0,0.0,0.0,48
32,1992525,77,0.0,0.0,0.0,0.0,0.0,0.0,77
33,2004846,77,66.0,0.0,0.0,0.0,0.0,0.0,66
34,1992647,77,66.0,52.0,48.0,0.0,0.0,0.0,48
35,1992742,77,66.0,52.0,48.0,36.0,24.0,12.0,12
36,1998230,77,66.0,0.0,0.0,0.0,0.0,0.0,66
37,1998232,77,66.0,0.0,0.0,0.0,0.0,0.0,66
38,1998229,77,0.0,0.0,0.0,0.0,0.0,0.0,77
39,1998231,77,0.0,0.0,0.0,0.0,0.0,0.0,77
40,1874129,77,0.0,0.0,0.0,0.0,0.0,0.0,77
41,1998235,77,66.0,0.0,0.0,0.0,0.0,0.0,66
42,1998233,77,66.0,52.0,48.0,0.0,0.0,0.0,48
43,1998285,77,66.0,52.0,48.0,36.0,24.0,12.0,12
44,1998286,77,66.0,52.0,48.0,36.0,0.0,0.0,36
45,1998298,77,66.0,52.0,48.0,36.0,24.0,0.0,24
46,1876197,77,66.0,52.0,48.0,36.0,24.0,12.0,12
47,1878320,77,66.0,52.0,48.0,36.0,24.0,12.0,12
48,1878462,77,0.0,0.0,0.0,0.0,0.0,0.0,77
49,1878463,77,0.0,0.0,0.0,0.0,0.0,0.0,77
50,1878458,77,0.0,0.0,0.0,0.0,0.0,0.0,77
51,1880581,77,0.0,0.0,0.0,0.0,0.0,0.0,77
52,1880580,77,0.0,0.0,0.0,0.0,0.0,0.0,77
53,1880579,77,66.0,0.0,0.0,0.0,0.0,0.0,66
54,1880578,77,66.0,0.0,0.0,0.0,0.0,0.0,66
55,1880575,77,0.0,0.0,0.0,0.0,0.0,0.0,77
56,1880587,77,0.0,0.0,0.0,0.0,0.0,0.0,77
57,1880577,77,66.0,0.0,0.0,0.0,0.0,0.0,66
58,1880588,77,0.0,0.0,0.0,0.0,0.0,0.0,77
59,1880576,77,66.0,0.0,0.0,0.0,0.0,0.0,66
60,1880589,77,0.0,0.0,0.0,0.0,0.0,0.0,77
61,1878505,77,0.0,0.0,0.0,0.0,0.0,0.0,77
62,1880590,77,0.0,0.0,0.0,0.0,0.0,0.0,77
63,1880594,77,66.0,0.0,0.0,0.0,0.0,0.0,66
64,1880586,77,0.0,0.0,0.0,0.0,0.0,0.0,77
65,1880593,77,0.0,0.0,0.0,0.0,0.0,0.0,77
66,1874143,77,0.0,0.0,0.0,0.0,0.0,0.0,77
67,1874128,77,0.0,0.0,0.0,0.0,0.0,0.0,77
68,1874108,77,0.0,0.0,0.0,0.0,0.0,0.0,77
69,1992584,77,66.0,0.0,0.0,0.0,0.0,0.0,66
70,1992606,77,66.0,0.0,0.0,0.0,0.0,0.0,66
71,1992650,77,66.0,52.0,48.0,36.0,24.0,0.0,24
72,1998299,77,66.0,52.0,48.0,36.0,24.0,12.0,12
73,1998293,77,66.0,52.0,48.0,36.0,24.0,12.0,12
74,1998294,77,66.0,52.0,48.0,36.0,24.0,12.0,12
75,1878544,77,66.0,52.0,48.0,36.0,24.0,12.0,12
76,1876660,77,66.0,52.0,48.0,36.0,24.0,12.0,12
77,1878543,77,0.0,0.0,0.0,0.0,0.0,0.0,77
78,1878549,77,0.0,0.0,0.0,0.0,0.0,0.0,77
79,1878330,77,0.0,0.0,0.0,0.0,0.0,0.0,77
80,1878327,77,0.0,0.0,0.0,0.0,0.0,0.0,77
81,1878325,77,0.0,0.0,0.0,0.0,0.0,0.0,77
82,1878551,77,66.0,0.0,0.0,0.0,0.0,0.0,66
83,1878401,77,0.0,0.0,0.0,0.0,0.0,0.0,77
84,1878402,77,0.0,0.0,0.0,0.0,0.0,0.0,77
85,1878599,77,0.0,0.0,0.0,0.0,0.0,0.0,77
86,1878423,77,0.0,0.0,0.0,0.0,0.0,0.0,77
87,1878424,77,0.0,0.0,0.0,0.0,0.0,0.0,77
88,1878425,77,0.0,0.0,0.0,0.0,0.0,0.0,77
89,1878426,77,0.0,0.0,0.0,0.0,0.0,0.0,77
90,1878427,77,66.0,0.0,0.0,0.0,0.0,0.0,66
91,1878432,77,0.0,0.0,0.0,0.0,0.0,0.0,77
92,1878433,77,0.0,0.0,0.0,0.0,0.0,0.0,77
93,1878403,77,66.0,0.0,0.0,0.0,0.0,0.0,66
94,1878404,77,66.0,0.0,0.0,0.0,0.0,0.0,66
95,1878405,77,66.0,0.0,0.0,0.0,0.0,0.0,66
96,1878406,77,66.0,0.0,0.0,0.0,0.0,0.0,66
97,1878407,77,66.0,0.0,0.0,0.0,0.0,0.0,66
98,1878408,77,66.0,0.0,0.0,0.0,0.0,0.0,66
99,1878428,77,66.0,0.0,0.0,0.0,0.0,0.0,66
100,1878409,77,66.0,0.0,0.0,0.0,0.0,0.0,66
101,1878413,77,66.0,0.0,0.0,0.0,0.0,0.0,66
102,1878414,77,66.0,0.0,0.0,0.0,0.0,0.0,66
103,1878465,77,66.0,0.0,0.0,0.0,0.0,0.0,66
104,1878464,77,66.0,0.0,0.0,0.0,0.0,0.0,66
105,1878504,77,66.0,0.0,0.0,0.0,0.0,0.0,66
106,1878506,77,66.0,0.0,0.0,0.0,0.0,0.0,66
107,1878429,77,0.0,0.0,0.0,0.0,0.0,0.0,77
108,1878431,77,66.0,0.0,0.0,0.0,0.0,0.0,66
109,1878430,77,66.0,0.0,0.0,0.0,0.0,0.0,66
110,1878501,77,66.0,0.0,0.0,0.0,0.0,0.0,66
111,1878500,77,66.0,0.0,0.0,0.0,0.0,0.0,66
112,1880591,77,66.0,0.0,0.0,0.0,0.0,0.0,66
113,1878509,77,66.0,0.0,0.0,0.0,0.0,0.0,66
114,1878508,77,66.0,0.0,0.0,0.0,0.0,0.0,66
115,1878507,77,66.0,0.0,0.0,0.0,0.0,0.0,66
116,1880592,77,66.0,0.0,0.0,0.0,0.0,0.0,66
117,1874130,77,66.0,0.0,0.0,0.0,0.0,0.0,66
118,1878540,77,66.0,0.0,0.0,0.0,0.0,0.0,66
119,1878516,77,66.0,0.0,0.0,0.0,0.0,0.0,66
120,1878530,77,66.0,0.0,0.0,0.0,0.0,0.0,66
121,1874131,77,66.0,0.0,0.0,0.0,0.0,0.0,66
122,1878515,77,66.0,0.0,0.0,0.0,0.0,0.0,66
123,1874132,77,66.0,0.0,0.0,0.0,0.0,0.0,66
124,1874133,77,66.0,0.0,0.0,0.0,0.0,0.0,66
125,1875426,77,66.0,0.0,0.0,0.0,0.0,0.0,66
126,1874142,77,66.0,0.0,0.0,0.0,0.0,0.0,66
127,1874122,77,0.0,0.0,0.0,0.0,0.0,0.0,77
128,1992605,77,0.0,0.0,0.0,0.0,0.0,0.0,77
129,1992648,77,66.0,0.0,0.0,0.0,0.0,0.0,66
130,1876657,77,66.0,52.0,48.0,36.0,24.0,12.0,12
131,1876655,77,66.0,52.0,48.0,36.0,24.0,12.0,12
132,1876659,77,66.0,52.0,48.0,36.0,24.0,12.0,12
133,1878541,77,66.0,0.0,0.0,0.0,0.0,0.0,66
134,1878545,77,66.0,52.0,48.0,0.0,0.0,0.0,48
135,1878547,77,66.0,52.0,48.0,36.0,24.0,12.0,12
136,1878546,77,66.0,52.0,48.0,36.0,24.0,12.0,12
137,1878542,77,66.0,52.0,48.0,36.0,24.0,12.0,12
138,1878574,77,66.0,52.0,48.0,36.0,24.0,12.0,12
139,1878324,77,0.0,0.0,0.0,0.0,0.0,0.0,77
140,1878548,77,0.0,0.0,0.0,0.0,0.0,0.0,77
141,1878550,77,0.0,0.0,0.0,0.0,0.0,0.0,77
142,1878581,77,66.0,0.0,0.0,0.0,0.0,0.0,66
143,1878580,77,0.0,0.0,0.0,0.0,0.0,0.0,77
144,1878577,77,66.0,0.0,0.0,0.0,0.0,0.0,66
145,1878578,77,66.0,0.0,0.0,0.0,0.0,0.0,66
146,1878587,77,0.0,0.0,0.0,0.0,0.0,0.0,77
147,1878583,77,0.0,0.0,0.0,0.0,0.0,0.0,77
