juris_id,juris_name,county,OF_idx,HO_idx,SC_idx,IL_idx,IW_idx,IH_idx,RS_idx,RB_idx,MR_idx,MT_idx,ME_idx,HS_idx,HT_idx,HM_idx,MAX_DUA_idx,MAX_FAR_idx,MAX_HEIGHT_idx,proportion_adj_dua,proportion_adj_far,proportion_adj_height
alam,alameda,ala,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,BASIS,PBA40,BASIS,BASIS,1,1,1
alba,albany,ala,BASIS,PBA40,PBA40,PBA40,PBA40,PBA40,BASIS,PBA40,BASIS,PBA40,PBA40,PBA40,PBA40,BASIS,BASIS,BASIS,BASIS,1,1,1
berk,berkeley,ala,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,BASIS,PBA40,PBA40,PBA40,1,1,1
dubl,dublin,ala,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,BASIS,PBA40,PBA40,PBA40,1,1,1
emer,emeryville,ala,BASIS,PBA40,PBA40,PBA40,PBA40,PBA40,BASIS,PBA40,BASIS,PBA40,PBA40,PBA40,PBA40,BASIS,BASIS,BASIS,BASIS,1,1,1
frem,fremont,ala,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,1,1,1
hayw,hayward,ala,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,BASIS,BASIS,PBA40,BASIS,1,1,1
livr,livermore,ala,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,BASIS,PBA40,PBA40,PBA40,1,1,1
newk,newark,ala,BASIS,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,BASIS,PBA40,PBA40,PBA40,PBA40,BASIS,PBA40,BASIS,BASIS,1,1,1
okld,oakland,ala,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,BASIS,PBA40,PBA40,PBA40,1,1,1
pied,piedmont,ala,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,BASIS,BASIS,BASIS,BASIS,1,1,1
plea,pleasanton,ala,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,BASIS,PBA40,PBA40,PBA40,1,1,1
slea,san_leandro,ala,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,BASIS,BASIS,PBA40,BASIS,1,1,1
uala,unincorporated_alameda,ala,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,1,1,1
unic,union_city,ala,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,BASIS,PBA40,BASIS,PBA40,PBA40,PBA40,PBA40,BASIS,BASIS,BASIS,BASIS,1,1,1
anti,antioch,cnc,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,1,1,1
bren,brentwood,cnc,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,1,1,1
clay,clayton,cnc,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,BASIS,PBA40,BASIS,PBA40,PBA40,PBA40,PBA40,BASIS,PBA40,BASIS,BASIS,1,1,1
conc,concord,cnc,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,1,1,1
danv,danville,cnc,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,1,1,1
elce,el_cerrito,cnc,BASIS,PBA40,PBA40,PBA40,PBA40,PBA40,BASIS,PBA40,BASIS,PBA40,PBA40,PBA40,PBA40,BASIS,BASIS,PBA40,BASIS,1,1,1
herc,hercules,cnc,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,BASIS,PBA40,PBA40,PBA40,PBA40,PBA40,BASIS,PBA40,BASIS,1,1,1
lafa,lafayette,cnc,BASIS,PBA40,PBA40,PBA40,PBA40,PBA40,BASIS,PBA40,BASIS,PBA40,PBA40,PBA40,PBA40,BASIS,PBA40,PBA40,PBA40,1,1,1
mart,martinez,cnc,BASIS,PBA40,PBA40,PBA40,PBA40,PBA40,BASIS,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,BASIS,PBA40,PBA40,PBA40,1,1,1
mora,moraga,cnc,BASIS,PBA40,PBA40,PBA40,PBA40,PBA40,BASIS,PBA40,BASIS,PBA40,PBA40,PBA40,PBA40,BASIS,BASIS,PBA40,BASIS,1,1,1
okly,oakley,cnc,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,BASIS,PBA40,BASIS,PBA40,PBA40,PBA40,PBA40,BASIS,BASIS,BASIS,BASIS,1,1,1
orin,orinda,cnc,BASIS,PBA40,PBA40,PBA40,PBA40,PBA40,BASIS,PBA40,BASIS,PBA40,PBA40,PBA40,PBA40,BASIS,BASIS,PBA40,BASIS,1,1,1
pino,pinole,cnc,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,BASIS,PBA40,PBA40,PBA40,PBA40,BASIS,BASIS,BASIS,BASIS,1,1,1
pitt,pittsburg,cnc,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,BASIS,PBA40,BASIS,1,1,1
plhl,pleasant_hill,cnc,BASIS,PBA40,PBA40,PBA40,PBA40,PBA40,BASIS,PBA40,BASIS,PBA40,PBA40,PBA40,PBA40,BASIS,PBA40,BASIS,BASIS,1,1,1
rich,richmond,cnc,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,BASIS,PBA40,PBA40,PBA40,PBA40,PBA40,BASIS,PBA40,BASIS,1,1,1
spab,san_pablo,cnc,BASIS,PBA40,PBA40,PBA40,PBA40,PBA40,BASIS,PBA40,BASIS,PBA40,PBA40,PBA40,PBA40,BASIS,BASIS,PBA40,BASIS,1,1,1
sram,san_ramon,cnc,BASIS,PBA40,PBA40,PBA40,PBA40,PBA40,BASIS,PBA40,BASIS,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,1,1,1
ucnc,unincorporated_contra_costa,cnc,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,1,1,1
walc,walnut_creek,cnc,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,BASIS,PBA40,BASIS,BASIS,1,1,1
belv,belvedere,mar,BASIS,PBA40,PBA40,PBA40,PBA40,PBA40,BASIS,PBA40,BASIS,PBA40,PBA40,PBA40,PBA40,BASIS,BASIS,BASIS,BASIS,1,1,1
cmad,corte_madera,mar,BASIS,PBA40,PBA40,PBA40,PBA40,PBA40,BASIS,PBA40,BASIS,PBA40,PBA40,PBA40,PBA40,BASIS,PBA40,PBA40,PBA40,1,1,1
frfx,fairfax,mar,BASIS,PBA40,PBA40,PBA40,PBA40,PBA40,BASIS,PBA40,BASIS,PBA40,PBA40,PBA40,PBA40,BASIS,BASIS,PBA40,BASIS,1,1,1
lark,larkspur,mar,BASIS,PBA40,PBA40,PBA40,PBA40,PBA40,BASIS,PBA40,BASIS,PBA40,PBA40,PBA40,PBA40,BASIS,BASIS,BASIS,BASIS,1,1,1
milv,mill_valley,mar,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,BASIS,PBA40,BASIS,1,1,1
nova,novato,mar,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,1,1,1
ross,ross,mar,BASIS,PBA40,PBA40,PBA40,PBA40,PBA40,BASIS,PBA40,BASIS,PBA40,PBA40,PBA40,PBA40,BASIS,BASIS,BASIS,BASIS,1,1,1
sans,san_anselmo,mar,BASIS,PBA40,PBA40,PBA40,PBA40,PBA40,BASIS,PBA40,BASIS,PBA40,PBA40,PBA40,PBA40,BASIS,BASIS,BASIS,BASIS,1,1,1
