Tract FIPS Code,tract_id,county,hra,coc
6001400100,1400100,Alameda,1,0
6001400200,1400200,Alameda,1,0
6001400300,1400300,Alameda,0,0
6001400400,1400400,Alameda,0,0
6001400500,1400500,Alameda,1,0
6001400600,1400600,Alameda,0,0
6001400700,1400700,Alameda,0,0
6001400800,1400800,Alameda,0,0
6001400900,1400900,Alameda,0,0
6001401000,1401000,Alameda,0,1
6001401100,1401100,Alameda,0,0
6001401200,1401200,Alameda,0,0
6001401300,1401300,Alameda,0,1
6001401400,1401400,Alameda,0,1
6001401500,1401500,Alameda,0,1
6001401600,1401600,Alameda,0,1
6001401700,1401700,Alameda,0,0
6001401800,1401800,Alameda,0,1
6001402200,1402200,Alameda,0,1
6001402400,1402400,Alameda,0,1
6001402500,1402500,Alameda,0,1
6001402600,1402600,Alameda,0,1
6001402700,1402700,Alameda,0,1
6001402800,1402800,Alameda,0,1
6001402900,1402900,Alameda,0,1
6001403000,1403000,Alameda,0,1
6001403100,1403100,Alameda,0,1
6001403300,1403300,Alameda,0,1
6001403400,1403400,Alameda,0,0
6001403501,1403501,Alameda,0,1
6001403502,1403502,Alameda,0,0
6001403600,1403600,Alameda,0,0
6001403701,1403701,Alameda,0,0
6001403702,1403702,Alameda,0,0
6001403800,1403800,Alameda,1,0
6001403900,1403900,Alameda,0,0
6001404000,1404000,Alameda,0,0
6001404101,1404101,Alameda,0,0
6001404102,1404102,Alameda,0,0
6001404200,1404200,Alameda,1,0
6001404300,1404300,Alameda,1,0
6001404400,1404400,Alameda,1,0
6001404501,1404501,Alameda,1,0
6001404502,1404502,Alameda,1,0
6001404600,1404600,Alameda,1,0
6001404700,1404700,Alameda,1,0
6001404800,1404800,Alameda,0,0
6001404900,1404900,Alameda,0,0
6001405000,1405000,Alameda,0,0
6001405100,1405100,Alameda,1,0
6001405200,1405200,Alameda,0,0
6001405301,1405301,Alameda,0,0
6001405302,1405302,Alameda,0,1
6001405401,1405401,Alameda,0,1
6001405402,1405402,Alameda,0,1
6001405500,1405500,Alameda,0,0
6001405600,1405600,Alameda,0,1
6001405700,1405700,Alameda,0,1
6001405800,1405800,Alameda,0,1
6001405901,1405901,Alameda,0,1
6001405902,1405902,Alameda,0,1
6001406000,1406000,Alameda,0,1
6001406100,1406100,Alameda,0,1
6001406201,1406201,Alameda,0,1
6001406202,1406202,Alameda,0,1
6001406300,1406300,Alameda,0,1
6001406400,1406400,Alameda,0,1
6001406500,1406500,Alameda,0,1
6001406601,1406601,Alameda,0,1
6001406602,1406602,Alameda,0,1
6001406700,1406700,Alameda,0,0
6001406800,1406800,Alameda,0,0
6001406900,1406900,Alameda,0,0
6001407000,1407000,Alameda,0,1
6001407101,1407101,Alameda,0,1
6001407102,1407102,Alameda,0,1
6001407200,1407200,Alameda,0,1
6001407300,1407300,Alameda,0,1
6001407400,1407400,Alameda,0,1
6001407500,1407500,Alameda,0,1
6001407600,1407600,Alameda,0,1
6001407700,1407700,Alameda,0,0
6001407800,1407800,Alameda,0,0
6001407900,1407900,Alameda,0,0
6001408000,1408000,Alameda,0,0
6001408100,1408100,Alameda,0,0
6001408200,1408200,Alameda,0,1
6001408300,1408300,Alameda,0,0
6001408400,1408400,Alameda,0,1
6001408500,1408500,Alameda,0,1
6001408600,1408600,Alameda,0,1
6001408700,1408700,Alameda,0,1
6001408800,1408800,Alameda,0,1
6001408900,1408900,Alameda,0,1
6001409000,1409000,Alameda,0,1
6001409100,1409100,Alameda,0,1
6001409200,1409200,Alameda,0,1
6001409300,1409300,Alameda,0,1
6001409400,1409400,Alameda,0,1
6001409500,1409500,Alameda,0,1
6001409600,1409600,Alameda,0,1
6001409700,1409700,Alameda,0,1
6001409800,1409800,Alameda,0,1
6001409900,1409900,Alameda,0,0
6001410000,1410000,Alameda,0,0
6001410100,1410100,Alameda,0,1
6001410200,1410200,Alameda,0,1
6001410300,1410300,Alameda,0,1
6001410400,1410400,Alameda,0,1
6001410500,1410500,Alameda,0,1
6001420100,1420100,Alameda,1,0
6001420200,1420200,Alameda,1,0
6001420300,1420300,Alameda,1,0
6001420400,1420400,Alameda,0,0
6001420500,1420500,Alameda,1,0
6001420600,1420600,Alameda,1,0
6001421100,1421100,Alameda,1,0
6001421200,1421200,Alameda,1,0
6001421300,1421300,Alameda,1,0
6001421400,1421400,Alameda,1,0
6001421500,1421500,Alameda,1,0
6001421600,1421600,Alameda,1,0
6001421700,1421700,Alameda,1,0
6001421800,1421800,Alameda,1,0
6001421900,1421900,Alameda,1,0
6001422000,1422000,Alameda,0,1
6001422100,1422100,Alameda,1,0
6001422200,1422200,Alameda,1,0
6001422300,1422300,Alameda,1,0
6001422400,1422400,Alameda,1,0
6001422500,1422500,Alameda,0,0
6001422600,1422600,Alameda,1,0
6001422700,1422700,Alameda,0,0
6001422800,1422800,Alameda,0,1
6001422900,1422900,Alameda,0,1
6001423000,1423000,Alameda,1,0
6001423100,1423100,Alameda,1,0
6001423200,1423200,Alameda,1,1
6001423300,1423300,Alameda,1,1
6001423400,1423400,Alameda,1,0
6001423500,1423500,Alameda,1,0
6001423601,1423601,Alameda,1,0
6001423602,1423602,Alameda,0,0
6001423700,1423700,Alameda,0,0
6001423800,1423800,Alameda,1,0
6001423901,1423901,Alameda,1,0
6001423902,1423902,Alameda,1,0
6001424001,1424001,Alameda,1,1
6001424002,1424002,Alameda,0,0
6001425101,1425101,Alameda,0,0
6001425102,1425102,Alameda,0,0
6001425103,1425103,Alameda,0,0
6001425104,1425104,Alameda,0,1
6001426100,1426100,Alameda,1,0
6001426200,1426200,Alameda,1,0
6001427100,1427100,Alameda,0,0
6001427200,1427200,Alameda,0,0
6001427300,1427300,Alameda,1,0
6001427600,1427600,Alameda,0,1
